"unique_id","population_count","measure_id","data_value","short_question_text"
"3651000-36005002000",8731,"CHECKUP",78.1,"Annual Checkup"
"3651000-36005002300",4933,"CHECKUP",78,"Annual Checkup"
"3651000-36005002500",5491,"CHECKUP",75,"Annual Checkup"
"3651000-36005002701",3113,"CHECKUP",76.9,"Annual Checkup"
"3651000-36005002702",4475,"CHECKUP",74.5,"Annual Checkup"
"3651000-36005002800",5586,"CHECKUP",84.8,"Annual Checkup"
"3651000-36005003100",1597,"CHECKUP",77,"Annual Checkup"
"3651000-36005003300",3413,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005003500",3761,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005003700",245,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005003800",1264,"CHECKUP",78.4,"Annual Checkup"
"3651000-36005003900",6475,"CHECKUP",74.3,"Annual Checkup"
"3651000-36005004001",1420,"CHECKUP",79.6,"Annual Checkup"
"3651000-36005004100",6127,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005004200",7143,"CHECKUP",80.3,"Annual Checkup"
"3651000-36005004300",5056,"CHECKUP",75.6,"Annual Checkup"
"3651000-36005004400",4797,"CHECKUP",79.1,"Annual Checkup"
"3651000-36005004600",1555,"CHECKUP",79.8,"Annual Checkup"
"3651000-36005004800",3883,"CHECKUP",74.6,"Annual Checkup"
"3651000-36005005001",4767,"CHECKUP",76,"Annual Checkup"
"3651000-36005005002",5823,"CHECKUP",73.7,"Annual Checkup"
"3651000-36005005100",5810,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005005200",2031,"CHECKUP",77.3,"Annual Checkup"
"3651000-36005005300",4669,"CHECKUP",78.5,"Annual Checkup"
"3651000-36005005400",5853,"CHECKUP",74.9,"Annual Checkup"
"3651000-36005005600",2711,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005005902",2582,"CHECKUP",78.9,"Annual Checkup"
"3651000-36005006000",1129,"CHECKUP",76.2,"Annual Checkup"
"3651000-36005006100",3713,"CHECKUP",87.6,"Annual Checkup"
"3651000-36005006200",6585,"CHECKUP",77.5,"Annual Checkup"
"3651000-36005006300",5280,"CHECKUP",77.5,"Annual Checkup"
"3651000-36005006400",3967,"CHECKUP",79,"Annual Checkup"
"3651000-36005006500",5337,"CHECKUP",76.2,"Annual Checkup"
"3651000-36005006700",6984,"CHECKUP",75.2,"Annual Checkup"
"3651000-36005006800",2897,"CHECKUP",78.4,"Annual Checkup"
"3651000-36005006900",7564,"CHECKUP",77.2,"Annual Checkup"
"3651000-36005007000",4584,"CHECKUP",75.9,"Annual Checkup"
"3651000-36005007100",1907,"CHECKUP",79,"Annual Checkup"
"3651000-36005007200",5432,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005007300",3893,"CHECKUP",75.1,"Annual Checkup"
"3651000-36005007400",3710,"CHECKUP",80.6,"Annual Checkup"
"3651000-36005007500",4869,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005007600",5190,"CHECKUP",75.9,"Annual Checkup"
"3651000-36005007700",1927,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005007800",6418,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005007900",6733,"CHECKUP",76.4,"Annual Checkup"
"3651000-36005008300",6155,"CHECKUP",74.6,"Annual Checkup"
"3651000-36005008400",2374,"CHECKUP",79.6,"Annual Checkup"
"3651000-36005008500",5457,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005008600",4176,"CHECKUP",78.7,"Annual Checkup"
"3651000-36005008700",5466,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005008900",3177,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005009000",3667,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005009200",5017,"CHECKUP",76.4,"Annual Checkup"
"3651000-36005009300",6356,"CHECKUP",74.3,"Annual Checkup"
"3651000-36005009600",2594,"CHECKUP",78.3,"Annual Checkup"
"3651000-36005009800",5038,"CHECKUP",79.3,"Annual Checkup"
"3651000-36005011000",151,"CHECKUP",74.8,"Annual Checkup"
"3651000-36005011502",4340,"CHECKUP",75.4,"Annual Checkup"
"3651000-36005011700",1585,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005011800",5089,"CHECKUP",76,"Annual Checkup"
"3651000-36005011900",5698,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005012101",3090,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005012102",1631,"CHECKUP",75,"Annual Checkup"
"3651000-36005012300",4152,"CHECKUP",76.9,"Annual Checkup"
"3651000-36005012500",3905,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005012701",2253,"CHECKUP",77,"Annual Checkup"
"3651000-36005012901",4015,"CHECKUP",76.2,"Annual Checkup"
"3651000-36005013000",1032,"CHECKUP",78.7,"Annual Checkup"
"3651000-36005013100",5103,"CHECKUP",76.9,"Annual Checkup"
"3651000-36005013200",5890,"CHECKUP",78.6,"Annual Checkup"
"3651000-36005013300",6384,"CHECKUP",79.2,"Annual Checkup"
"3651000-36005013500",3583,"CHECKUP",79.2,"Annual Checkup"
"3651000-36005013800",3042,"CHECKUP",78.5,"Annual Checkup"
"3651000-36005014100",3437,"CHECKUP",77.5,"Annual Checkup"
"3651000-36005014300",1003,"CHECKUP",80.3,"Annual Checkup"
"3651000-36005014400",5880,"CHECKUP",79.1,"Annual Checkup"
"3651000-36005014500",5816,"CHECKUP",78.3,"Annual Checkup"
"3651000-36005014701",6461,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005014702",5110,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005014900",4591,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005015100",5409,"CHECKUP",78.3,"Annual Checkup"
"3651000-36005015200",2341,"CHECKUP",78.1,"Annual Checkup"
"3651000-36005015300",4031,"CHECKUP",79,"Annual Checkup"
"3651000-36005015500",3005,"CHECKUP",76.5,"Annual Checkup"
"3651000-36005015700",3580,"CHECKUP",76.9,"Annual Checkup"
"3651000-36005015800",1206,"CHECKUP",77.4,"Annual Checkup"
"3651000-36005015900",2164,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005016000",3767,"CHECKUP",78.6,"Annual Checkup"
"3651000-36005016100",4380,"CHECKUP",77.7,"Annual Checkup"
"3651000-36005016200",1769,"CHECKUP",79.6,"Annual Checkup"
"3651000-36005016400",1141,"CHECKUP",78.4,"Annual Checkup"
"3651000-36005016500",1077,"CHECKUP",77.8,"Annual Checkup"
"3651000-36005016600",2166,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005016700",2047,"CHECKUP",78.1,"Annual Checkup"
"3651000-36005016900",1663,"CHECKUP",78.4,"Annual Checkup"
"3651000-36005017300",5987,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005017500",6911,"CHECKUP",78.4,"Annual Checkup"
"3651000-36005017701",4294,"CHECKUP",78.6,"Annual Checkup"
"3651000-36005017702",4805,"CHECKUP",78.3,"Annual Checkup"
"3651000-36005017901",4677,"CHECKUP",75.6,"Annual Checkup"
"3651000-36005017902",3587,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005018101",3300,"CHECKUP",77.5,"Annual Checkup"
"3651000-36005018102",5555,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005018301",4525,"CHECKUP",80.6,"Annual Checkup"
"3651000-36005018302",3647,"CHECKUP",77.4,"Annual Checkup"
"3651000-36005018400",3855,"CHECKUP",77.7,"Annual Checkup"
"3651000-36005018500",7466,"CHECKUP",77.3,"Annual Checkup"
"3651000-36005018900",7752,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005019300",5461,"CHECKUP",77.7,"Annual Checkup"
"3651000-36005019400",1903,"CHECKUP",76.7,"Annual Checkup"
"3651000-36005019500",7756,"CHECKUP",77.2,"Annual Checkup"
"3651000-36005019700",7501,"CHECKUP",75.1,"Annual Checkup"
"3651000-36005019900",8154,"CHECKUP",76.8,"Annual Checkup"
"3651000-36005020000",4878,"CHECKUP",75.2,"Annual Checkup"
"3651000-36005020100",4013,"CHECKUP",77.3,"Annual Checkup"
"3651000-36005020200",2155,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005020400",2976,"CHECKUP",75.9,"Annual Checkup"
"3651000-36005020501",6996,"CHECKUP",78.7,"Annual Checkup"
"3651000-36005020502",1764,"CHECKUP",79.3,"Annual Checkup"
"3651000-36005020601",3050,"CHECKUP",77.4,"Annual Checkup"
"3651000-36005020900",4361,"CHECKUP",77.8,"Annual Checkup"
"3651000-36005021001",8521,"CHECKUP",81,"Annual Checkup"
"3651000-36005021002",6839,"CHECKUP",81.5,"Annual Checkup"
"3651000-36005021100",5565,"CHECKUP",77,"Annual Checkup"
"3651000-36005021200",5267,"CHECKUP",80.3,"Annual Checkup"
"3651000-36005021301",1201,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005021302",5415,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005021501",3506,"CHECKUP",76.8,"Annual Checkup"
"3651000-36005021502",6051,"CHECKUP",75.9,"Annual Checkup"
"3651000-36005021601",4206,"CHECKUP",75.9,"Annual Checkup"
"3651000-36005021602",5769,"CHECKUP",79.6,"Annual Checkup"
"3651000-36005021700",5334,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005021800",6499,"CHECKUP",76.7,"Annual Checkup"
"3651000-36005021900",1367,"CHECKUP",76,"Annual Checkup"
"3651000-36005022000",1487,"CHECKUP",73.4,"Annual Checkup"
"3651000-36005022101",3849,"CHECKUP",74,"Annual Checkup"
"3651000-36005022102",5488,"CHECKUP",73.7,"Annual Checkup"
"3651000-36005022200",3425,"CHECKUP",76,"Annual Checkup"
"3651000-36005022300",5047,"CHECKUP",76,"Annual Checkup"
"3651000-36005022401",2708,"CHECKUP",76.8,"Annual Checkup"
"3651000-36005022403",3188,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005022404",4509,"CHECKUP",76.7,"Annual Checkup"
"3651000-36005022500",7698,"CHECKUP",75.7,"Annual Checkup"
"3651000-36005022701",5196,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005022702",1699,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005022703",1556,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005022800",6218,"CHECKUP",77,"Annual Checkup"
"3651000-36005022901",5370,"CHECKUP",75.7,"Annual Checkup"
"3651000-36005022902",3273,"CHECKUP",76,"Annual Checkup"
"3651000-36005023000",2950,"CHECKUP",76,"Annual Checkup"
"3651000-36005023100",1537,"CHECKUP",75.7,"Annual Checkup"
"3651000-36005023200",2661,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005023301",4377,"CHECKUP",77.2,"Annual Checkup"
"3651000-36005023302",3415,"CHECKUP",73.9,"Annual Checkup"
"3651000-36005023501",3341,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005023502",4386,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005023600",1907,"CHECKUP",75.7,"Annual Checkup"
"3651000-36005023702",1241,"CHECKUP",74.7,"Annual Checkup"
"3651000-36005023703",5253,"CHECKUP",74.4,"Annual Checkup"
"3651000-36005023704",3758,"CHECKUP",75,"Annual Checkup"
"3651000-36005023800",2615,"CHECKUP",75.3,"Annual Checkup"
"3651000-36005023900",8348,"CHECKUP",74.7,"Annual Checkup"
"3651000-36005024000",3882,"CHECKUP",76.8,"Annual Checkup"
"3651000-36005024100",6182,"CHECKUP",75.7,"Annual Checkup"
"3651000-36005024300",5685,"CHECKUP",76.7,"Annual Checkup"
"3651000-36005024400",2120,"CHECKUP",77.7,"Annual Checkup"
"3651000-36005024501",4864,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005024502",3640,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005024600",2058,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005024700",1764,"CHECKUP",79.4,"Annual Checkup"
"3651000-36005024800",3363,"CHECKUP",79.7,"Annual Checkup"
"3651000-36005025000",2383,"CHECKUP",79,"Annual Checkup"
"3651000-36005025100",6802,"CHECKUP",75.7,"Annual Checkup"
"3651000-36005025200",2530,"CHECKUP",77.7,"Annual Checkup"
"3651000-36005025300",6332,"CHECKUP",74.9,"Annual Checkup"
"3651000-36005025400",1959,"CHECKUP",79,"Annual Checkup"
"3651000-36005025500",6529,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005025600",1663,"CHECKUP",77.7,"Annual Checkup"
"3651000-36005025700",1912,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005026100",1932,"CHECKUP",84.7,"Annual Checkup"
"3651000-36005026300",6984,"CHECKUP",78.5,"Annual Checkup"
"3651000-36005026400",4935,"CHECKUP",77.6,"Annual Checkup"
"3651000-36005026500",6942,"CHECKUP",74.9,"Annual Checkup"
"3651000-36005026601",2911,"CHECKUP",79.3,"Annual Checkup"
"3651000-36005026602",5301,"CHECKUP",77.8,"Annual Checkup"
"3651000-36005026701",4037,"CHECKUP",75.3,"Annual Checkup"
"3651000-36005026702",7040,"CHECKUP",76,"Annual Checkup"
"3651000-36005026900",3777,"CHECKUP",77,"Annual Checkup"
"3651000-36005027300",7942,"CHECKUP",77,"Annual Checkup"
"3651000-36005027401",4785,"CHECKUP",78.9,"Annual Checkup"
"3651000-36005027402",3386,"CHECKUP",79.5,"Annual Checkup"
"3651000-36005027600",473,"CHECKUP",83.7,"Annual Checkup"
"3651000-36005027700",5065,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005027900",6966,"CHECKUP",78.6,"Annual Checkup"
"3651000-36005028100",3794,"CHECKUP",82.2,"Annual Checkup"
"3651000-36005028300",3149,"CHECKUP",78.1,"Annual Checkup"
"3651000-36005028400",894,"CHECKUP",80.4,"Annual Checkup"
"3651000-36005028500",3307,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005028600",1191,"CHECKUP",77.8,"Annual Checkup"
"3651000-36005028700",3178,"CHECKUP",77.6,"Annual Checkup"
"3651000-36005028800",3097,"CHECKUP",79.4,"Annual Checkup"
"3651000-36005028900",4502,"CHECKUP",77.2,"Annual Checkup"
"3651000-36005029301",1875,"CHECKUP",84.1,"Annual Checkup"
"3651000-36005029302",5052,"CHECKUP",83,"Annual Checkup"
"3651000-36005029500",4240,"CHECKUP",79.1,"Annual Checkup"
"3651000-36005029600",2549,"CHECKUP",74.3,"Annual Checkup"
"3651000-36005029700",3554,"CHECKUP",82.7,"Annual Checkup"
"3651000-36005030000",5838,"CHECKUP",78,"Annual Checkup"
"3651000-36005030100",1304,"CHECKUP",86,"Annual Checkup"
"3651000-36005030200",8887,"CHECKUP",84.5,"Annual Checkup"
"3651000-36005030701",5378,"CHECKUP",81.5,"Annual Checkup"
"3651000-36005030900",3891,"CHECKUP",86.4,"Annual Checkup"
"3651000-36005031000",4415,"CHECKUP",82.4,"Annual Checkup"
"3651000-36005031200",1524,"CHECKUP",80.8,"Annual Checkup"
"3651000-36005031400",1966,"CHECKUP",80.9,"Annual Checkup"
"3651000-36005031600",1863,"CHECKUP",79,"Annual Checkup"
"3651000-36005031800",1810,"CHECKUP",80.3,"Annual Checkup"
"3651000-36005031900",751,"CHECKUP",73.6,"Annual Checkup"
"3651000-36005032300",4904,"CHECKUP",82,"Annual Checkup"
"3651000-36005032400",2957,"CHECKUP",78.8,"Annual Checkup"
"3651000-36005032600",3154,"CHECKUP",79.3,"Annual Checkup"
"3651000-36005032800",3979,"CHECKUP",77.2,"Annual Checkup"
"3651000-36005033000",5696,"CHECKUP",76.8,"Annual Checkup"
"3651000-36005033201",4115,"CHECKUP",78.9,"Annual Checkup"
"3651000-36005033202",4167,"CHECKUP",79.8,"Annual Checkup"
"3651000-36005033400",1351,"CHECKUP",77.8,"Annual Checkup"
"3651000-36005033500",2178,"CHECKUP",79.1,"Annual Checkup"
"3651000-36005033600",6188,"CHECKUP",79.5,"Annual Checkup"
"3651000-36005033700",2357,"CHECKUP",79.9,"Annual Checkup"
"3651000-36005033800",3818,"CHECKUP",78.2,"Annual Checkup"
"3651000-36005034000",4618,"CHECKUP",78.6,"Annual Checkup"
"3651000-36005034200",1675,"CHECKUP",80.6,"Annual Checkup"
"3651000-36005034300",1649,"CHECKUP",80.5,"Annual Checkup"
"3651000-36005034400",1736,"CHECKUP",81.1,"Annual Checkup"
"3651000-36005034500",3566,"CHECKUP",80.1,"Annual Checkup"
"3651000-36005034800",6129,"CHECKUP",81.3,"Annual Checkup"
"3651000-36005035000",1925,"CHECKUP",81.8,"Annual Checkup"
"3651000-36005035100",3186,"CHECKUP",76.2,"Annual Checkup"
"3651000-36005035600",2027,"CHECKUP",83.7,"Annual Checkup"
"3651000-36005035800",7166,"CHECKUP",84.5,"Annual Checkup"
"3651000-36005035900",2061,"CHECKUP",76.5,"Annual Checkup"
"3651000-36005036000",2706,"CHECKUP",81.9,"Annual Checkup"
"3651000-36005036100",6019,"CHECKUP",78.3,"Annual Checkup"
"3651000-36005036300",7509,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005036400",2557,"CHECKUP",85.1,"Annual Checkup"
"3651000-36005036501",3965,"CHECKUP",77.4,"Annual Checkup"
"3651000-36005036502",2423,"CHECKUP",75.6,"Annual Checkup"
"3651000-36005036700",2599,"CHECKUP",74.8,"Annual Checkup"
"3651000-36005036800",2011,"CHECKUP",82.5,"Annual Checkup"
"3651000-36005036901",2005,"CHECKUP",77.4,"Annual Checkup"
"3651000-36005036902",2119,"CHECKUP",77.1,"Annual Checkup"
"3651000-36005037000",2303,"CHECKUP",83.2,"Annual Checkup"
"3651000-36005037100",4241,"CHECKUP",79,"Annual Checkup"
"3651000-36005037200",2222,"CHECKUP",81,"Annual Checkup"
"3651000-36005037300",5318,"CHECKUP",77.4,"Annual Checkup"
"3651000-36005037400",3441,"CHECKUP",80.8,"Annual Checkup"
"3651000-36005037504",3677,"CHECKUP",77.3,"Annual Checkup"
"3651000-36005037600",2148,"CHECKUP",80.6,"Annual Checkup"
"3651000-36005037800",3048,"CHECKUP",80.1,"Annual Checkup"
"3651000-36005037900",5093,"CHECKUP",77.6,"Annual Checkup"
"3651000-36005038000",4585,"CHECKUP",83.7,"Annual Checkup"
"3651000-36005038100",6382,"CHECKUP",76.4,"Annual Checkup"
"3651000-36005038200",2596,"CHECKUP",83.1,"Annual Checkup"
"3651000-36005038301",4797,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005038302",6106,"CHECKUP",77,"Annual Checkup"
"3651000-36005038500",4758,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005038600",7409,"CHECKUP",83.3,"Annual Checkup"
"3651000-36005038700",3216,"CHECKUP",74.7,"Annual Checkup"
"3651000-36005038800",2606,"CHECKUP",84.3,"Annual Checkup"
"3651000-36005038900",5325,"CHECKUP",73,"Annual Checkup"
"3651000-36005039000",2975,"CHECKUP",81.7,"Annual Checkup"
"3651000-36005039100",6992,"CHECKUP",74.3,"Annual Checkup"
"3651000-36005039200",1781,"CHECKUP",81.3,"Annual Checkup"
"3651000-36005039300",8143,"CHECKUP",76.9,"Annual Checkup"
"3651000-36005039400",4573,"CHECKUP",81.6,"Annual Checkup"
"3651000-36005039500",4146,"CHECKUP",77.6,"Annual Checkup"
"3651000-36005039600",3756,"CHECKUP",82.6,"Annual Checkup"
"3651000-36005039700",3702,"CHECKUP",72,"Annual Checkup"
"3651000-36005039800",3090,"CHECKUP",84.4,"Annual Checkup"
"3651000-36005039901",5228,"CHECKUP",75,"Annual Checkup"
"3651000-36005039902",5279,"CHECKUP",75.4,"Annual Checkup"
"3651000-36005040100",4593,"CHECKUP",74.7,"Annual Checkup"
"3651000-36005040302",4386,"CHECKUP",74.7,"Annual Checkup"
"3651000-36005040303",4478,"CHECKUP",75.6,"Annual Checkup"
"3651000-36005040304",3794,"CHECKUP",74.8,"Annual Checkup"
"3651000-36005040400",3016,"CHECKUP",84.3,"Annual Checkup"
"3651000-36005040501",4397,"CHECKUP",75.8,"Annual Checkup"
"3651000-36005040502",6863,"CHECKUP",76.4,"Annual Checkup"
"3651000-36005040600",3490,"CHECKUP",82.4,"Annual Checkup"
"3651000-36005040701",3347,"CHECKUP",75,"Annual Checkup"
"3651000-36005040702",6652,"CHECKUP",75.6,"Annual Checkup"
"3651000-36005040800",4263,"CHECKUP",79.7,"Annual Checkup"
"3651000-36005040900",3637,"CHECKUP",83.8,"Annual Checkup"
"3651000-36005041100",2931,"CHECKUP",76.3,"Annual Checkup"
"3651000-36005041300",7384,"CHECKUP",75.9,"Annual Checkup"
"3651000-36005041400",5027,"CHECKUP",81.6,"Annual Checkup"
"3651000-36005041500",5461,"CHECKUP",76.2,"Annual Checkup"
"3651000-36005041800",3598,"CHECKUP",79.9,"Annual Checkup"
"3651000-36005041900",6734,"CHECKUP",76.1,"Annual Checkup"
"3651000-36005042000",3850,"CHECKUP",80.4,"Annual Checkup"
"3651000-36005042100",5922,"CHECKUP",75.3,"Annual Checkup"
"3651000-36005042200",3086,"CHECKUP",83.4,"Annual Checkup"
"3651000-36005042300",4100,"CHECKUP",75.5,"Annual Checkup"
"3651000-36005042400",2481,"CHECKUP",85,"Annual Checkup"
"3651000-36005042500",6793,"CHECKUP",74.2,"Annual Checkup"
"3651000-36005042600",6387,"CHECKUP",84.6,"Annual Checkup"
"3651000-36005042800",2173,"CHECKUP",84.7,"Annual Checkup"
"3651000-36005042901",3420,"CHECKUP",75.2,"Annual Checkup"
"3651000-36005042902",3845,"CHECKUP",76.5,"Annual Checkup"
"3651000-36005043000",2898,"CHECKUP",83.4,"Annual Checkup"
"3651000-36005043100",9680,"CHECKUP",77,"Annual Checkup"
"3651000-36005043400",3592,"CHECKUP",81.5,"Annual Checkup"
"3651000-36005043600",2032,"CHECKUP",82.8,"Annual Checkup"
"3651000-36005044200",3555,"CHECKUP",82,"Annual Checkup"
"3651000-36005044400",3878,"CHECKUP",84,"Annual Checkup"
"3651000-36005044800",2026,"CHECKUP",84.6,"Annual Checkup"
"3651000-36005044901",1818,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005044902",1949,"CHECKUP",76.6,"Annual Checkup"
"3651000-36005045101",1656,"CHECKUP",77.9,"Annual Checkup"
"3651000-36005045102",1894,"CHECKUP",78.6,"Annual Checkup"
"3651000-36005045600",2896,"CHECKUP",82.8,"Annual Checkup"
"3651000-36005045800",6123,"CHECKUP",78.9,"Annual Checkup"
"3651000-36005046000",2741,"CHECKUP",83.3,"Annual Checkup"
"3651000-36005046201",26588,"CHECKUP",85,"Annual Checkup"
"3651000-36005046202",8277,"CHECKUP",83.1,"Annual Checkup"
"3651000-36005048400",3598,"CHECKUP",83.9,"Annual Checkup"
"3651000-36005051600",4362,"CHECKUP",80.5,"Annual Checkup"
"3651000-36047000100",4338,"CHECKUP",74.3,"Annual Checkup"
"3651000-36047000200",1470,"CHECKUP",64.4,"Annual Checkup"
"3651000-36047000301",4259,"CHECKUP",72.9,"Annual Checkup"
"3651000-36047000501",4247,"CHECKUP",71.1,"Annual Checkup"
"3651000-36047000502",2512,"CHECKUP",72,"Annual Checkup"
"3651000-36047000700",3359,"CHECKUP",70.2,"Annual Checkup"
"3651000-36047000900",4172,"CHECKUP",68.6,"Annual Checkup"
"3651000-36047001100",84,"CHECKUP",70.8,"Annual Checkup"
"3651000-36047001300",2275,"CHECKUP",71.4,"Annual Checkup"
"3651000-36047001500",3521,"CHECKUP",71,"Annual Checkup"
"3651000-36047001800",2105,"CHECKUP",63.4,"Annual Checkup"
"3651000-36047002000",1672,"CHECKUP",65.7,"Annual Checkup"
"3651000-36047002100",3604,"CHECKUP",67.9,"Annual Checkup"
"3651000-36047002200",4613,"CHECKUP",70.2,"Annual Checkup"
"3651000-36047002300",4247,"CHECKUP",74.4,"Annual Checkup"
"3651000-36047002901",3218,"CHECKUP",75.1,"Annual Checkup"
"3651000-36047003000",1730,"CHECKUP",72,"Annual Checkup"
"3651000-36047003100",2472,"CHECKUP",77.8,"Annual Checkup"
"3651000-36047003300",2327,"CHECKUP",69,"Annual Checkup"
"3651000-36047003400",3047,"CHECKUP",72,"Annual Checkup"
"3651000-36047003500",1554,"CHECKUP",73.4,"Annual Checkup"
"3651000-36047003600",3804,"CHECKUP",72.2,"Annual Checkup"
"3651000-36047003700",390,"CHECKUP",68.8,"Annual Checkup"
"3651000-36047003800",1498,"CHECKUP",73.6,"Annual Checkup"
"3651000-36047003900",2229,"CHECKUP",71.4,"Annual Checkup"
"3651000-36047004100",3598,"CHECKUP",71.6,"Annual Checkup"
"3651000-36047004300",3008,"CHECKUP",69,"Annual Checkup"
"3651000-36047004400",2359,"CHECKUP",75.1,"Annual Checkup"
"3651000-36047004500",3325,"CHECKUP",70.5,"Annual Checkup"
"3651000-36047004600",1199,"CHECKUP",74.3,"Annual Checkup"
"3651000-36047004700",1445,"CHECKUP",70.5,"Annual Checkup"
"3651000-36047004900",2516,"CHECKUP",72.9,"Annual Checkup"
"3651000-36047005000",2276,"CHECKUP",73.6,"Annual Checkup"
"3651000-36047005100",2171,"CHECKUP",69.1,"Annual Checkup"
"3651000-36047005201",1829,"CHECKUP",80.6,"Annual Checkup"
"3651000-36047005202",2481,"CHECKUP",74,"Annual Checkup"
"3651000-36047005300",1888,"CHECKUP",68.6,"Annual Checkup"
"3651000-36047005400",3139,"CHECKUP",72.5,"Annual Checkup"
"3651000-36047005601",2505,"CHECKUP",73.2,"Annual Checkup"
"3651000-36047005602",1586,"CHECKUP",71.8,"Annual Checkup"
"3651000-36047005800",3152,"CHECKUP",70,"Annual Checkup"
"3651000-36047005900",1384,"CHECKUP",68.3,"Annual Checkup"
"3651000-36047006000",2826,"CHECKUP",69.5,"Annual Checkup"
"3651000-36047006200",2853,"CHECKUP",70.6,"Annual Checkup"
"3651000-36047006300",1892,"CHECKUP",69.1,"Annual Checkup"
"3651000-36047006400",3478,"CHECKUP",71.2,"Annual Checkup"
"3651000-36047006500",5191,"CHECKUP",70,"Annual Checkup"
"3651000-36047006600",3663,"CHECKUP",70.2,"Annual Checkup"
"3651000-36047006700",3301,"CHECKUP",70.4,"Annual Checkup"
"3651000-36047006800",4870,"CHECKUP",69.1,"Annual Checkup"
"3651000-36047006900",3537,"CHECKUP",69.2,"Annual Checkup"
"3651000-36047007000",2344,"CHECKUP",73.1,"Annual Checkup"
"3651000-36047007100",4495,"CHECKUP",73.7,"Annual Checkup"
"3651000-36047007200",1946,"CHECKUP",65.6,"Annual Checkup"
"3651000-36047007400",5451,"CHECKUP",66.4,"Annual Checkup"
"3651000-36047007500",4383,"CHECKUP",70.1,"Annual Checkup"
"3651000-36047007600",4412,"CHECKUP",66.8,"Annual Checkup"
"3651000-36047007700",3901,"CHECKUP",70.3,"Annual Checkup"
"3651000-36047007800",5068,"CHECKUP",66.6,"Annual Checkup"
"3651000-36047008000",4169,"CHECKUP",68.4,"Annual Checkup"
"3651000-36047008200",4141,"CHECKUP",67.4,"Annual Checkup"
"3651000-36047008400",3299,"CHECKUP",66.3,"Annual Checkup"
"3651000-36047008500",6956,"CHECKUP",73.9,"Annual Checkup"
"3651000-36047008800",3207,"CHECKUP",67.7,"Annual Checkup"
"3651000-36047009000",2994,"CHECKUP",65.6,"Annual Checkup"
"3651000-36047009200",5388,"CHECKUP",66.4,"Annual Checkup"
"3651000-36047009400",5805,"CHECKUP",66.9,"Annual Checkup"
"3651000-36047009600",6126,"CHECKUP",65.9,"Annual Checkup"
"3651000-36047009800",7024,"CHECKUP",64.6,"Annual Checkup"
"3651000-36047010000",6737,"CHECKUP",66.4,"Annual Checkup"
"3651000-36047010100",4093,"CHECKUP",67,"Annual Checkup"
"3651000-36047010200",5622,"CHECKUP",65.9,"Annual Checkup"
"3651000-36047010400",5908,"CHECKUP",67.5,"Annual Checkup"
"3651000-36047010600",5851,"CHECKUP",67.5,"Annual Checkup"
